"Analysis","Selection.Scenario","Decision","Value","Significantly.Negative","Not.Significant","Significantly.Positive","Total.Estimates","Significance.Uncalculated"
"Compana","Correct Habitat Layer (i.e., Positive selection)","Tracking Duration (days)","7",0,4852,2828,7680,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Tracking Duration (days)","15",0,7654,3866,11520,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Tracking Duration (days)","30",0,10090,5270,15360,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Tracking Duration (days)","60",0,10229,5131,15360,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Tracking Frequency (points/hour)","0.08",0,4871,2809,7680,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Tracking Frequency (points/hour)","0.17",0,7198,4322,11520,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Tracking Frequency (points/hour)","0.5",0,10288,5072,15360,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Tracking Frequency (points/hour)","1",0,10468,4892,15360,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Sample Size (n)","3",0,3082,6902,9984,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Sample Size (n)","5",0,3716,6268,9984,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Sample Size (n)","10",0,7039,2945,9984,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Sample Size (n)","15",0,9258,726,9984,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Sample Size (n)","20",0,9730,254,9984,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Type II or Type III Habitat Selection","III",0,15353,9607,24960,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Type II or Type III Habitat Selection","II",0,17472,7488,24960,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Available Points Multiplier","1",0,8093,4387,12480,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Available Points Multiplier","2",0,8231,4249,12480,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Available Points Multiplier","4",0,8213,4267,12480,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Available Points Multiplier","10",0,8288,4192,12480,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Sampling Pattern","Random",0,16376,8584,24960,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Sampling Pattern","Stratified",0,16449,8511,24960,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Compana Test Method","Parametric",0,19528,5432,24960,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Compana Test Method","Randomisation",0,13297,11663,24960,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Available Area Method","MCP",0,15950,9010,24960,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Available Area Method","AKDE",0,16875,8085,24960,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Available Area Contour (%)","95",0,16144,8816,24960,0
"Compana","Correct Habitat Layer (i.e., Positive selection)","Available Area Contour (%)","99",0,16681,8279,24960,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Tracking Duration (days)","7",147,2868,4665,7680,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Tracking Duration (days)","15",206,4885,6429,11520,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Tracking Duration (days)","30",406,7020,7934,15360,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Tracking Duration (days)","60",338,6890,8132,15360,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Tracking Frequency (points/hour)","0.08",283,4394,3003,7680,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Tracking Frequency (points/hour)","0.17",250,6353,4917,11520,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Tracking Frequency (points/hour)","0.5",294,5730,9336,15360,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Tracking Frequency (points/hour)","1",270,5186,9904,15360,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Sample Size (n)","3",310,3978,5696,9984,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Sample Size (n)","5",677,4359,4948,9984,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Sample Size (n)","10",46,4036,5902,9984,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Sample Size (n)","15",64,4589,5331,9984,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Sample Size (n)","20",0,4701,5283,9984,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Type II or Type III Habitat Selection","III",528,10757,13675,24960,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Type II or Type III Habitat Selection","II",569,10906,13485,24960,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Available Points Multiplier","1",259,5383,6838,12480,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Available Points Multiplier","2",269,5388,6823,12480,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Available Points Multiplier","4",295,5435,6750,12480,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Available Points Multiplier","10",274,5457,6749,12480,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Sampling Pattern","Random",557,10791,13612,24960,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Sampling Pattern","Stratified",540,10872,13548,24960,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Compana Test Method","Parametric",1027,10758,13175,24960,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Compana Test Method","Randomisation",70,10905,13985,24960,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Available Area Method","MCP",543,10859,13558,24960,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Available Area Method","AKDE",554,10804,13602,24960,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Available Area Contour (%)","95",571,10704,13685,24960,0
"Compana","Scrambled Habitat Layer (i.e., No selection)","Available Area Contour (%)","99",526,10959,13475,24960,0
"SSF","Correct Habitat Layer (i.e., Positive selection)","Tracking Duration (days)","7",5,1663,1966,4800,1166
"SSF","Correct Habitat Layer (i.e., Positive selection)","Tracking Duration (days)","15",84,2104,3494,7200,1518
"SSF","Correct Habitat Layer (i.e., Positive selection)","Tracking Duration (days)","30",22,2600,5178,9600,1800
"SSF","Correct Habitat Layer (i.e., Positive selection)","Tracking Duration (days)","60",44,2014,5946,9600,1596
"SSF","Correct Habitat Layer (i.e., Positive selection)","Tracking Frequency (points/hour)","0.08",4,1397,2782,4800,617
"SSF","Correct Habitat Layer (i.e., Positive selection)","Tracking Frequency (points/hour)","0.17",102,2576,3481,7200,1041
