".variable",".value",".lower",".upper",".width",".point",".interval","model"
"b_Intercept",0.0628137233733601,-1.48429918831184,0.815203933485283,0.95,"median","hdci","ssfBrms"
"b_availablePerStepScaled",0.00266691184689547,-0.00559859886370111,0.0116075961314496,0.95,"median","hdci","ssfBrms"
"b_averagingMethodNaiveaverage",-0.117445249045946,-0.13611661463596,-0.100534470947424,0.95,"median","hdci","ssfBrms"
"b_modelFormulamf.ss",0.020879110875725,0.00270683306730535,0.035035678124978,0.95,"median","hdci","ssfBrms"
"b_sampleSizeScaled",0.041814813269395,-0.1176118955362,0.253540232688191,0.95,"median","hdci","ssfBrms"
"b_stepDistgamma",0.00194959231104871,-0.0152143549101934,0.0190081400564981,0.95,"median","hdci","ssfBrms"
"b_trackDuraScaled",-0.06526853764815,-0.0734260990924306,-0.0554612935748802,0.95,"median","hdci","ssfBrms"
"b_trackFreqScaled",-0.0868586104029175,-0.0954436966084373,-0.0778923926943467,0.95,"median","hdci","ssfBrms"
"b_turnDistvonmises",-0.000596553473280988,-0.0183114698924602,0.0158155386006847,0.95,"median","hdci","ssfBrms"
"b_Intercept",1.59548878350363,-0.570229291544999,3.70808265502372,0.95,"median","hdci","areaBrms"
"b_areaMethodMCP",-0.17989088040466,-0.244194584395152,-0.115090814493577,0.95,"median","hdci","areaBrms"
"b_availablePointsScaled",0.0193653201941441,-0.012297595850505,0.055673676011182,0.95,"median","hdci","areaBrms"
"b_contourScaled",0.00039840170069887,-0.0303739071878039,0.0331117229468543,0.95,"median","hdci","areaBrms"
"b_sampleSizeScaled",0.232194472191983,-0.805742232346174,1.38705770235483,0.95,"median","hdci","areaBrms"
"b_samplingPatternst",0.027755521795008,-0.029821935689854,0.0973487706335337,0.95,"median","hdci","areaBrms"
"b_testrandomisation",-1.53042503096554,-1.60629512040436,-1.47305425070519,0.95,"median","hdci","areaBrms"
"b_trackDuraScaled",-0.0825254996055252,-0.116204084074717,-0.0496842202732439,0.95,"median","hdci","areaBrms"
"b_trackFreqScaled",-0.0875568525367804,-0.12325570974964,-0.0515809515736358,0.95,"median","hdci","areaBrms"
"b_typeIII",-0.357835891887583,-0.429671931652503,-0.29758220415397,0.95,"median","hdci","areaBrms"
"b_Intercept",-0.044341783820397,-0.756248361928904,0.877026110490422,0.95,"median","hdci","poisBrms"
"b_availablePerStepScaled",-0.5282397247671,-0.535941953262595,-0.519227578597315,0.95,"median","hdci","poisBrms"
"b_modelFormulamf.ss",0.00491725755181818,-0.0107546193415439,0.0217995642025359,0.95,"median","hdci","poisBrms"
"b_sampleSizeScaled",-0.210959054068609,-0.587185615558349,0.0580034431923347,0.95,"median","hdci","poisBrms"
"b_stepDistgamma",-0.0176227046106906,-0.0335238265136842,-0.000563470528043547,0.95,"median","hdci","poisBrms"
"b_trackDuraScaled",-0.302397517175346,-0.30985007986414,-0.293721157754511,0.95,"median","hdci","poisBrms"
"b_trackFreqScaled",-0.35112895431689,-0.359911115400816,-0.342094287632145,0.95,"median","hdci","poisBrms"
"b_turnDistvonmises",0.00328517352321124,-0.0133353789867959,0.0206916917233099,0.95,"median","hdci","poisBrms"
"b_Intercept",0.0195238647727228,-1.00619128820092,1.29271392618707,0.95,"median","hdci","twoStepBrms"
"b_availablePerStepScaled",-0.00612873030901357,-0.0215951074430196,0.00846651436451973,0.95,"median","hdci","twoStepBrms"
"b_modelFormulamf.ss",0.229998888752179,0.193135158322736,0.272342746080008,0.95,"median","hdci","twoStepBrms"
"b_sampleSizeScaled",0.0212499528896975,-0.267904364789269,0.194283997142497,0.95,"median","hdci","twoStepBrms"
"b_stepDistgamma",0.00630683521070545,-0.022694779348099,0.0379306141206619,0.95,"median","hdci","twoStepBrms"
"b_trackDuraScaled",-0.00376721071122225,-0.0209051570760023,0.011040340919655,0.95,"median","hdci","twoStepBrms"
"b_trackFreqScaled",0.0958213291004524,0.0810273814574694,0.111536965307312,0.95,"median","hdci","twoStepBrms"
"b_turnDistvonmises",-0.106069769491824,-0.134576956976061,-0.0743045099503579,0.95,"median","hdci","twoStepBrms"
